uuid,brief,notes,audience,tone,issue_tag
b96319d5-a88f-47fc-8d78-2ca7e4866eb7,Student reports frequent arguments at home.,"Student reports frequent arguments at home. Use encouraging, clear steps the student can try this week. Avoid jargon and keep sentences short and clear. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,plain_language,family_conflict
dd0ae321-ed84-49ca-9901-69d1b9449cad,Student mentions using alcohol on weekends due to stress.,"Student mentions using alcohol on weekends due to stress. Offer supportive, practical steps for home and communication. Acknowledge cultural context and family values respectfully. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,culturally_sensitive,substance_use
00f9e4fd-4e5b-4d4f-ab85-cfd8b51b2836,Student says they don't feel good enough compared to peers.,"Student says they don't feel good enough compared to peers. Focus on accommodations and classroom strategies. Use formal structure with headings and bullet points. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,formal_report,low_self_esteem
779f68b6-11ad-4a7b-a218-5ae7e4dfdb63,Student feels overwhelmed by assignments and exams.,"Student feels overwhelmed by assignments and exams. Emphasize formulation, risk, and intervention planning. Use simple, motivational language with concrete tips. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,student_friendly,academic_stress
f3e95c3e-e30b-45b5-836e-8a518ae5420e,Student experiences worry and physical tension before class.,"Student experiences worry and physical tension before class. Use encouraging, clear steps the student can try this week. Offer collaborative tone and step-by-step guidance. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,parent_friendly,anxiety
bbf4c5cf-e16d-4326-a5e4-b2e2080c2ab3,Student reports low mood and low motivation recently.,"Student reports low mood and low motivation recently. Offer supportive, practical steps for home and communication. Include immediate safety steps and crisis contacts. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,crisis_informational,depression
ce42b4bc-a45a-45db-9e75-4e6b41c30aaf,Student has difficulty falling asleep and staying asleep.,"Student has difficulty falling asleep and staying asleep. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,sleep_issues
cce395a4-af0f-46ec-ac67-c19ade734bea,Student reports being teased and excluded by peers.,"Student reports being teased and excluded by peers. Emphasize formulation, risk, and intervention planning. Use empathic language and normalize common reactions. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,supportive,bullying
0f935a6d-390b-473b-b0d6-3a201a90381f,Student is grieving a recent loss in the family.,"Student is grieving a recent loss in the family. Use encouraging, clear steps the student can try this week. Avoid jargon and keep sentences short and clear. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,plain_language,grief
a7996bf3-f744-4146-bd1d-b02dbcde9b17,Student avoids reminders of a past distressing event.,"Student avoids reminders of a past distressing event. Offer supportive, practical steps for home and communication. Acknowledge cultural context and family values respectfully. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,culturally_sensitive,trauma
2444c2b4-2f70-4d46-afac-02e6fe799609,Student reports frequent arguments at home.,"Student reports frequent arguments at home. Focus on accommodations and classroom strategies. Use formal structure with headings and bullet points. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,formal_report,family_conflict
7e6777a2-0eca-4dae-a8dc-929bbdbc6627,Student mentions using alcohol on weekends due to stress.,"Student mentions using alcohol on weekends due to stress. Emphasize formulation, risk, and intervention planning. Use simple, motivational language with concrete tips. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,student_friendly,substance_use
dbe3b998-706a-4b9d-9218-579ded6cc4e1,Student says they don't feel good enough compared to peers.,"Student says they don't feel good enough compared to peers. Use encouraging, clear steps the student can try this week. Offer collaborative tone and step-by-step guidance. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,parent_friendly,low_self_esteem
7450bf04-37e5-478b-b912-e2e30a20e74f,Student feels overwhelmed by assignments and exams.,"Student feels overwhelmed by assignments and exams. Offer supportive, practical steps for home and communication. Include immediate safety steps and crisis contacts. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,crisis_informational,academic_stress
aab27630-8e6f-4876-8066-748a8b9d2fd5,Student experiences worry and physical tension before class.,"Student experiences worry and physical tension before class. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,anxiety
797261b2-7061-4e47-b2c2-1efddf824aa9,Student reports low mood and low motivation recently.,"Student reports low mood and low motivation recently. Emphasize formulation, risk, and intervention planning. Use empathic language and normalize common reactions. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,supportive,depression
1250648b-a7bd-4e76-94ef-2b9597dbc888,Student has difficulty falling asleep and staying asleep.,"Student has difficulty falling asleep and staying asleep. Use encouraging, clear steps the student can try this week. Avoid jargon and keep sentences short and clear. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,plain_language,sleep_issues
0a98b2df-a835-4d00-9bc0-5047640a62d5,Student reports being teased and excluded by peers.,"Student reports being teased and excluded by peers. Offer supportive, practical steps for home and communication. Acknowledge cultural context and family values respectfully. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,culturally_sensitive,bullying
3f9040ac-558b-4631-a5ed-101cc0a7762d,Student is grieving a recent loss in the family.,"Student is grieving a recent loss in the family. Focus on accommodations and classroom strategies. Use formal structure with headings and bullet points. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,formal_report,grief
bae01f47-c260-44f0-8bb2-06886b9e96ba,Student avoids reminders of a past distressing event.,"Student avoids reminders of a past distressing event. Emphasize formulation, risk, and intervention planning. Use simple, motivational language with concrete tips. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,student_friendly,trauma
5c220287-e34d-40cb-82f4-2ae31309aa04,Student reports frequent arguments at home.,"Student reports frequent arguments at home. Use encouraging, clear steps the student can try this week. Offer collaborative tone and step-by-step guidance. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,parent_friendly,family_conflict
de8b55d1-3610-44ca-8b98-6fe1027dd347,Student mentions using alcohol on weekends due to stress.,"Student mentions using alcohol on weekends due to stress. Offer supportive, practical steps for home and communication. Include immediate safety steps and crisis contacts. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,crisis_informational,substance_use
20274600-9a94-4df0-af59-e26f214815dc,Student says they don't feel good enough compared to peers.,"Student says they don't feel good enough compared to peers. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,low_self_esteem
1b1c7ac0-9744-45c4-ade9-6ee9153c2e96,Student feels overwhelmed by assignments and exams.,"Student feels overwhelmed by assignments and exams. Emphasize formulation, risk, and intervention planning. Use empathic language and normalize common reactions. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,supportive,academic_stress
ac3714ea-37d7-42ca-ac6a-f88d6f361d55,Student experiences worry and physical tension before class.,"Student experiences worry and physical tension before class. Use encouraging, clear steps the student can try this week. Avoid jargon and keep sentences short and clear. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,plain_language,anxiety
0fedf3d6-8ad3-4ec8-bdbe-ced4aa3ad82f,Student reports low mood and low motivation recently.,"Student reports low mood and low motivation recently. Offer supportive, practical steps for home and communication. Acknowledge cultural context and family values respectfully. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,culturally_sensitive,depression
de13ddbd-5007-4279-b6b9-15576b99189b,Student has difficulty falling asleep and staying asleep.,"Student has difficulty falling asleep and staying asleep. Focus on accommodations and classroom strategies. Use formal structure with headings and bullet points. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,formal_report,sleep_issues
1ebc15e5-b168-4819-b7ed-05760588d8a4,Student reports being teased and excluded by peers.,"Student reports being teased and excluded by peers. Emphasize formulation, risk, and intervention planning. Use simple, motivational language with concrete tips. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,student_friendly,bullying
24a7f827-6444-4da1-90e6-e3c520236b58,Student is grieving a recent loss in the family.,"Student is grieving a recent loss in the family. Use encouraging, clear steps the student can try this week. Offer collaborative tone and step-by-step guidance. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,parent_friendly,grief
b87ac4b8-fbfd-4d34-b2ee-954dc57ada65,Student avoids reminders of a past distressing event.,"Student avoids reminders of a past distressing event. Offer supportive, practical steps for home and communication. Include immediate safety steps and crisis contacts. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,crisis_informational,trauma
bf0d5fce-1c5b-4624-a4d0-1241c05f22f6,Student reports frequent arguments at home.,"Student reports frequent arguments at home. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,family_conflict
5de3401b-1f49-4c34-87c5-3126089f6245,Student mentions using alcohol on weekends due to stress.,"Student mentions using alcohol on weekends due to stress. Emphasize formulation, risk, and intervention planning. Use empathic language and normalize common reactions. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,supportive,substance_use
8668d687-0b68-4467-b631-9b2dd32fe1b5,Student says they don't feel good enough compared to peers.,"Student says they don't feel good enough compared to peers. Use encouraging, clear steps the student can try this week. Avoid jargon and keep sentences short and clear. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,plain_language,low_self_esteem
418ab2b6-0cda-4b91-870d-3412989a1656,Student feels overwhelmed by assignments and exams.,"Student feels overwhelmed by assignments and exams. Offer supportive, practical steps for home and communication. Acknowledge cultural context and family values respectfully. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,culturally_sensitive,academic_stress
7926f9a3-e639-4a46-8fb4-71e0c6326464,Student experiences worry and physical tension before class.,"Student experiences worry and physical tension before class. Focus on accommodations and classroom strategies. Use formal structure with headings and bullet points. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,formal_report,anxiety
d4590418-acbe-4666-95a7-9088cde354e8,Student reports low mood and low motivation recently.,"Student reports low mood and low motivation recently. Emphasize formulation, risk, and intervention planning. Use simple, motivational language with concrete tips. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,student_friendly,depression
96f006ce-2bee-4cdc-aaab-d279e461687a,Student has difficulty falling asleep and staying asleep.,"Student has difficulty falling asleep and staying asleep. Use encouraging, clear steps the student can try this week. Offer collaborative tone and step-by-step guidance. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,parent_friendly,sleep_issues
0a0c8372-fa9f-4fc9-a0be-a384d59be20c,Student reports being teased and excluded by peers.,"Student reports being teased and excluded by peers. Offer supportive, practical steps for home and communication. Include immediate safety steps and crisis contacts. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,crisis_informational,bullying
56edc02f-da6e-40a7-92fc-1afea2046a17,Student is grieving a recent loss in the family.,"Student is grieving a recent loss in the family. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,grief
a7450bb6-afb5-4f5a-9ff6-913a1860161a,Student avoids reminders of a past distressing event.,"Student avoids reminders of a past distressing event. Emphasize formulation, risk, and intervention planning. Use empathic language and normalize common reactions. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,supportive,trauma
2ae26126-28ef-4d4c-9ebe-4f596bf25bd7,Student reports frequent arguments at home.,"Student reports frequent arguments at home. Use encouraging, clear steps the student can try this week. Avoid jargon and keep sentences short and clear. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,plain_language,family_conflict
478018e1-7fe5-4fa7-90d3-03fcca33c062,Student mentions using alcohol on weekends due to stress.,"Student mentions using alcohol on weekends due to stress. Offer supportive, practical steps for home and communication. Acknowledge cultural context and family values respectfully. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,culturally_sensitive,substance_use
94e51f08-20a8-48e9-b4d9-72b79db89ea8,Student says they don't feel good enough compared to peers.,"Student says they don't feel good enough compared to peers. Focus on accommodations and classroom strategies. Use formal structure with headings and bullet points. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,formal_report,low_self_esteem
27609812-9c54-4eeb-a325-12c121e98cee,Student feels overwhelmed by assignments and exams.,"Student feels overwhelmed by assignments and exams. Emphasize formulation, risk, and intervention planning. Use simple, motivational language with concrete tips. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,student_friendly,academic_stress
8a92ad0d-7456-4683-aca2-38365a234212,Student experiences worry and physical tension before class.,"Student experiences worry and physical tension before class. Use encouraging, clear steps the student can try this week. Offer collaborative tone and step-by-step guidance. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,parent_friendly,anxiety
8cc5bfec-6b76-48f9-a61a-00698c3815f9,Student reports low mood and low motivation recently.,"Student reports low mood and low motivation recently. Offer supportive, practical steps for home and communication. Include immediate safety steps and crisis contacts. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,crisis_informational,depression
ef14df30-1ea4-4ffe-b3bd-ecd5750ced42,Student has difficulty falling asleep and staying asleep.,"Student has difficulty falling asleep and staying asleep. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,sleep_issues
512fd602-4ce5-47f7-9d53-f2f1757b958e,Student reports being teased and excluded by peers.,"Student reports being teased and excluded by peers. Emphasize formulation, risk, and intervention planning. Use empathic language and normalize common reactions. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,supportive,bullying
44626191-84da-4240-9252-e81547d7a1c2,Student is grieving a recent loss in the family.,"Student is grieving a recent loss in the family. Use encouraging, clear steps the student can try this week. Avoid jargon and keep sentences short and clear. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,plain_language,grief
4c0d5890-08ca-4bbe-9ec7-138c25b823d6,Student avoids reminders of a past distressing event.,"Student avoids reminders of a past distressing event. Offer supportive, practical steps for home and communication. Acknowledge cultural context and family values respectfully. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,culturally_sensitive,trauma
d0bfe193-1980-4de0-a0ef-6f518ec6aea6,Student reports frequent arguments at home.,"Student reports frequent arguments at home. Focus on accommodations and classroom strategies. Use formal structure with headings and bullet points. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,formal_report,family_conflict
690b1838-8ac2-417f-bfd5-a6cf3f2f019b,Student mentions using alcohol on weekends due to stress.,"Student mentions using alcohol on weekends due to stress. Emphasize formulation, risk, and intervention planning. Use simple, motivational language with concrete tips. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,student_friendly,substance_use
0e6c713d-5aa4-466a-99b3-9b8e536e02df,Student says they don't feel good enough compared to peers.,"Student says they don't feel good enough compared to peers. Use encouraging, clear steps the student can try this week. Offer collaborative tone and step-by-step guidance. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,parent_friendly,low_self_esteem
006c1a6c-4365-46bc-ad97-0b285ecccd3a,Student feels overwhelmed by assignments and exams.,"Student feels overwhelmed by assignments and exams. Offer supportive, practical steps for home and communication. Include immediate safety steps and crisis contacts. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,crisis_informational,academic_stress
3815b98f-df34-446b-81ff-55c17220ffb6,Student experiences worry and physical tension before class.,"Student experiences worry and physical tension before class. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,anxiety
107a67ac-e6e8-4634-8c0d-58a7f8383394,Student reports low mood and low motivation recently.,"Student reports low mood and low motivation recently. Emphasize formulation, risk, and intervention planning. Use empathic language and normalize common reactions. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,supportive,depression
b504acdf-5ab7-434e-ad34-776751c10db1,Student has difficulty falling asleep and staying asleep.,"Student has difficulty falling asleep and staying asleep. Use encouraging, clear steps the student can try this week. Avoid jargon and keep sentences short and clear. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,plain_language,sleep_issues
0bea4693-4eae-4ee6-9ce0-01f3b54bef48,Student reports being teased and excluded by peers.,"Student reports being teased and excluded by peers. Offer supportive, practical steps for home and communication. Acknowledge cultural context and family values respectfully. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,culturally_sensitive,bullying
3bbc9660-d8f1-4ecc-9163-c1d797737174,Student is grieving a recent loss in the family.,"Student is grieving a recent loss in the family. Focus on accommodations and classroom strategies. Use formal structure with headings and bullet points. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,formal_report,grief
17172b08-e8f5-4140-965b-023ca0eaa34f,Student avoids reminders of a past distressing event.,"Student avoids reminders of a past distressing event. Emphasize formulation, risk, and intervention planning. Use simple, motivational language with concrete tips. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,student_friendly,trauma
446447e3-a0e0-4e88-99cb-90408cad28c3,Student reports frequent arguments at home.,"Student reports frequent arguments at home. Use encouraging, clear steps the student can try this week. Offer collaborative tone and step-by-step guidance. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,parent_friendly,family_conflict
4844d2bc-9dfc-4d0b-af02-b2f0013a0b9f,Student mentions using alcohol on weekends due to stress.,"Student mentions using alcohol on weekends due to stress. Offer supportive, practical steps for home and communication. Include immediate safety steps and crisis contacts. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,crisis_informational,substance_use
87b05e6e-b5d0-4942-93dc-88b3762f2c33,Student says they don't feel good enough compared to peers.,"Student says they don't feel good enough compared to peers. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,low_self_esteem
0b6adeca-18e9-4484-96e3-d0adee555a61,Student feels overwhelmed by assignments and exams.,"Student feels overwhelmed by assignments and exams. Emphasize formulation, risk, and intervention planning. Use empathic language and normalize common reactions. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,supportive,academic_stress
5b220b64-6877-4583-a859-61c55dfc3384,Student experiences worry and physical tension before class.,"Student experiences worry and physical tension before class. Use encouraging, clear steps the student can try this week. Avoid jargon and keep sentences short and clear. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,plain_language,anxiety
dca098f2-2980-42f4-97b7-0b464cc4a96b,Student reports low mood and low motivation recently.,"Student reports low mood and low motivation recently. Offer supportive, practical steps for home and communication. Acknowledge cultural context and family values respectfully. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,culturally_sensitive,depression
e63ddcbd-87bc-4aca-be55-a2e25f1fcf32,Student has difficulty falling asleep and staying asleep.,"Student has difficulty falling asleep and staying asleep. Focus on accommodations and classroom strategies. Use formal structure with headings and bullet points. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,formal_report,sleep_issues
e8e5982a-4d5d-4458-828e-794ec7121007,Student reports being teased and excluded by peers.,"Student reports being teased and excluded by peers. Emphasize formulation, risk, and intervention planning. Use simple, motivational language with concrete tips. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,student_friendly,bullying
c87f9ba5-f5b2-4d4b-a753-d8a1a92c24b2,Student is grieving a recent loss in the family.,"Student is grieving a recent loss in the family. Use encouraging, clear steps the student can try this week. Offer collaborative tone and step-by-step guidance. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,parent_friendly,grief
f219a78e-6c45-41c7-9976-f2d7d0ef4e96,Student avoids reminders of a past distressing event.,"Student avoids reminders of a past distressing event. Offer supportive, practical steps for home and communication. Include immediate safety steps and crisis contacts. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,crisis_informational,trauma
77f4ae64-170e-411b-ab9c-7440615a565d,Student reports frequent arguments at home.,"Student reports frequent arguments at home. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,family_conflict
fe574a6c-888b-4aa0-a07b-56fc9527a57f,Student mentions using alcohol on weekends due to stress.,"Student mentions using alcohol on weekends due to stress. Emphasize formulation, risk, and intervention planning. Use empathic language and normalize common reactions. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,supportive,substance_use
033e61c7-661d-40a7-a419-6e928abfe669,Student says they don't feel good enough compared to peers.,"Student says they don't feel good enough compared to peers. Use encouraging, clear steps the student can try this week. Avoid jargon and keep sentences short and clear. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,plain_language,low_self_esteem
8d7d1d58-b3aa-4db4-aa5d-f55951b94679,Student feels overwhelmed by assignments and exams.,"Student feels overwhelmed by assignments and exams. Offer supportive, practical steps for home and communication. Acknowledge cultural context and family values respectfully. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,culturally_sensitive,academic_stress
fab1f6d8-fc32-4802-8767-d037e022943a,Student experiences worry and physical tension before class.,"Student experiences worry and physical tension before class. Focus on accommodations and classroom strategies. Use formal structure with headings and bullet points. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,formal_report,anxiety
be29f931-22c2-4709-a2d8-61934c3bbe66,Student reports low mood and low motivation recently.,"Student reports low mood and low motivation recently. Emphasize formulation, risk, and intervention planning. Use simple, motivational language with concrete tips. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,student_friendly,depression
2915b31b-d957-40da-a5ec-565e48e041d3,Student has difficulty falling asleep and staying asleep.,"Student has difficulty falling asleep and staying asleep. Use encouraging, clear steps the student can try this week. Offer collaborative tone and step-by-step guidance. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,parent_friendly,sleep_issues
28e2edfd-c3ad-4a79-90ae-b5f71100fbe4,Student reports being teased and excluded by peers.,"Student reports being teased and excluded by peers. Offer supportive, practical steps for home and communication. Include immediate safety steps and crisis contacts. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,crisis_informational,bullying
eb50665d-9307-4ac8-8de0-c8edc5599db9,Student is grieving a recent loss in the family.,"Student is grieving a recent loss in the family. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,grief
